PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=1 ttl=64 time=19.3 ms
64 bytes from 10.42.0.3: icmp_seq=2 ttl=64 time=16.7 ms
64 bytes from 10.42.0.3: icmp_seq=3 ttl=64 time=26.0 ms
64 bytes from 10.42.0.3: icmp_seq=4 ttl=64 time=741 ms
64 bytes from 10.42.0.3: icmp_seq=5 ttl=64 time=218 ms
64 bytes from 10.42.0.3: icmp_seq=6 ttl=64 time=19.9 ms
64 bytes from 10.42.0.3: icmp_seq=7 ttl=64 time=2.43 ms
64 bytes from 10.42.0.3: icmp_seq=8 ttl=64 time=565 ms
64 bytes from 10.42.0.3: icmp_seq=9 ttl=64 time=9.48 ms
64 bytes from 10.42.0.3: icmp_seq=10 ttl=64 time=8.59 ms
64 bytes from 10.42.0.3: icmp_seq=11 ttl=64 time=31.7 ms
64 bytes from 10.42.0.3: icmp_seq=12 ttl=64 time=415 ms
64 bytes from 10.42.0.3: icmp_seq=13 ttl=64 time=13.0 ms
64 bytes from 10.42.0.3: icmp_seq=14 ttl=64 time=22.9 ms
64 bytes from 10.42.0.3: icmp_seq=15 ttl=64 time=38.2 ms
64 bytes from 10.42.0.3: icmp_seq=16 ttl=64 time=15.2 ms
64 bytes from 10.42.0.3: icmp_seq=17 ttl=64 time=442 ms
64 bytes from 10.42.0.3: icmp_seq=18 ttl=64 time=7.85 ms
64 bytes from 10.42.0.3: icmp_seq=19 ttl=64 time=25.4 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=9.72 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=20.1 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=21 ttl=64 time=21.0 ms
64 bytes from 10.42.0.3: icmp_seq=22 ttl=64 time=26.1 ms
64 bytes from 10.42.0.3: icmp_seq=23 ttl=64 time=16.0 ms
64 bytes from 10.42.0.3: icmp_seq=24 ttl=64 time=6.80 ms
64 bytes from 10.42.0.3: icmp_seq=25 ttl=64 time=93.7 ms
64 bytes from 10.42.0.3: icmp_seq=26 ttl=64 time=10.2 ms
64 bytes from 10.42.0.3: icmp_seq=27 ttl=64 time=28.2 ms
64 bytes from 10.42.0.3: icmp_seq=28 ttl=64 time=11.6 ms
64 bytes from 10.42.0.3: icmp_seq=29 ttl=64 time=13.5 ms
64 bytes from 10.42.0.3: icmp_seq=30 ttl=64 time=2.37 ms
64 bytes from 10.42.0.3: icmp_seq=31 ttl=64 time=18.0 ms
64 bytes from 10.42.0.3: icmp_seq=32 ttl=64 time=26.8 ms
64 bytes from 10.42.0.3: icmp_seq=33 ttl=64 time=540 ms
64 bytes from 10.42.0.3: icmp_seq=34 ttl=64 time=37.1 ms
64 bytes from 10.42.0.3: icmp_seq=35 ttl=64 time=11.6 ms
64 bytes from 10.42.0.3: icmp_seq=36 ttl=64 time=16.0 ms
64 bytes from 10.42.0.3: icmp_seq=37 ttl=64 time=5.48 ms
64 bytes from 10.42.0.3: icmp_seq=37 ttl=64 time=16.0 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=38 ttl=64 time=664 ms
64 bytes from 10.42.0.3: icmp_seq=39 ttl=64 time=14.0 ms
64 bytes from 10.42.0.3: icmp_seq=40 ttl=64 time=29.6 ms
64 bytes from 10.42.0.3: icmp_seq=41 ttl=64 time=50.8 ms
64 bytes from 10.42.0.3: icmp_seq=42 ttl=64 time=34.7 ms
64 bytes from 10.42.0.3: icmp_seq=43 ttl=64 time=3.16 ms
64 bytes from 10.42.0.3: icmp_seq=43 ttl=64 time=35.1 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=44 ttl=64 time=952 ms
64 bytes from 10.42.0.3: icmp_seq=45 ttl=64 time=17.6 ms
64 bytes from 10.42.0.3: icmp_seq=46 ttl=64 time=21.3 ms
64 bytes from 10.42.0.3: icmp_seq=47 ttl=64 time=66.2 ms
64 bytes from 10.42.0.3: icmp_seq=47 ttl=64 time=104 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=48 ttl=64 time=429 ms
64 bytes from 10.42.0.3: icmp_seq=49 ttl=64 time=469 ms
64 bytes from 10.42.0.3: icmp_seq=50 ttl=64 time=1015 ms
64 bytes from 10.42.0.3: icmp_seq=51 ttl=64 time=34.7 ms
64 bytes from 10.42.0.3: icmp_seq=52 ttl=64 time=2.25 ms
64 bytes from 10.42.0.3: icmp_seq=53 ttl=64 time=445 ms
64 bytes from 10.42.0.3: icmp_seq=54 ttl=64 time=46.4 ms
64 bytes from 10.42.0.3: icmp_seq=55 ttl=64 time=33.2 ms
64 bytes from 10.42.0.3: icmp_seq=56 ttl=64 time=81.2 ms
64 bytes from 10.42.0.3: icmp_seq=57 ttl=64 time=14.7 ms
64 bytes from 10.42.0.3: icmp_seq=58 ttl=64 time=530 ms
64 bytes from 10.42.0.3: icmp_seq=59 ttl=64 time=52.4 ms
64 bytes from 10.42.0.3: icmp_seq=60 ttl=64 time=979 ms
64 bytes from 10.42.0.3: icmp_seq=61 ttl=64 time=47.0 ms
64 bytes from 10.42.0.3: icmp_seq=62 ttl=64 time=352 ms
64 bytes from 10.42.0.3: icmp_seq=63 ttl=64 time=11.2 ms
64 bytes from 10.42.0.3: icmp_seq=64 ttl=64 time=787 ms
64 bytes from 10.42.0.3: icmp_seq=65 ttl=64 time=18.7 ms
64 bytes from 10.42.0.3: icmp_seq=66 ttl=64 time=2.51 ms
64 bytes from 10.42.0.3: icmp_seq=67 ttl=64 time=46.8 ms
64 bytes from 10.42.0.3: icmp_seq=68 ttl=64 time=357 ms
64 bytes from 10.42.0.3: icmp_seq=69 ttl=64 time=13.3 ms
64 bytes from 10.42.0.3: icmp_seq=70 ttl=64 time=735 ms
64 bytes from 10.42.0.3: icmp_seq=71 ttl=64 time=22.2 ms
64 bytes from 10.42.0.3: icmp_seq=72 ttl=64 time=41.2 ms
64 bytes from 10.42.0.3: icmp_seq=73 ttl=64 time=12.3 ms
64 bytes from 10.42.0.3: icmp_seq=74 ttl=64 time=65.4 ms
64 bytes from 10.42.0.3: icmp_seq=75 ttl=64 time=11.2 ms
64 bytes from 10.42.0.3: icmp_seq=76 ttl=64 time=28.7 ms
64 bytes from 10.42.0.3: icmp_seq=77 ttl=64 time=7.44 ms
64 bytes from 10.42.0.3: icmp_seq=78 ttl=64 time=417 ms
64 bytes from 10.42.0.3: icmp_seq=79 ttl=64 time=1007 ms
64 bytes from 10.42.0.3: icmp_seq=80 ttl=64 time=45.7 ms
64 bytes from 10.42.0.3: icmp_seq=81 ttl=64 time=994 ms
64 bytes from 10.42.0.3: icmp_seq=82 ttl=64 time=31.5 ms
64 bytes from 10.42.0.3: icmp_seq=83 ttl=64 time=60.4 ms
64 bytes from 10.42.0.3: icmp_seq=84 ttl=64 time=20.5 ms
64 bytes from 10.42.0.3: icmp_seq=85 ttl=64 time=40.6 ms
64 bytes from 10.42.0.3: icmp_seq=86 ttl=64 time=231 ms
64 bytes from 10.42.0.3: icmp_seq=87 ttl=64 time=16.9 ms
64 bytes from 10.42.0.3: icmp_seq=88 ttl=64 time=24.2 ms
64 bytes from 10.42.0.3: icmp_seq=89 ttl=64 time=834 ms
64 bytes from 10.42.0.3: icmp_seq=90 ttl=64 time=28.3 ms
64 bytes from 10.42.0.3: icmp_seq=91 ttl=64 time=12.5 ms
64 bytes from 10.42.0.3: icmp_seq=92 ttl=64 time=778 ms
64 bytes from 10.42.0.3: icmp_seq=93 ttl=64 time=121 ms
64 bytes from 10.42.0.3: icmp_seq=94 ttl=64 time=797 ms
64 bytes from 10.42.0.3: icmp_seq=95 ttl=64 time=3.52 ms
64 bytes from 10.42.0.3: icmp_seq=96 ttl=64 time=2.72 ms
64 bytes from 10.42.0.3: icmp_seq=97 ttl=64 time=23.4 ms
64 bytes from 10.42.0.3: icmp_seq=98 ttl=64 time=23.2 ms
64 bytes from 10.42.0.3: icmp_seq=99 ttl=64 time=883 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=51.1 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=86.2 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=101 ttl=64 time=31.1 ms
64 bytes from 10.42.0.3: icmp_seq=102 ttl=64 time=138 ms
64 bytes from 10.42.0.3: icmp_seq=103 ttl=64 time=127 ms
64 bytes from 10.42.0.3: icmp_seq=104 ttl=64 time=9.25 ms
64 bytes from 10.42.0.3: icmp_seq=105 ttl=64 time=8.01 ms
64 bytes from 10.42.0.3: icmp_seq=106 ttl=64 time=410 ms
64 bytes from 10.42.0.3: icmp_seq=107 ttl=64 time=5.27 ms
64 bytes from 10.42.0.3: icmp_seq=108 ttl=64 time=542 ms
64 bytes from 10.42.0.3: icmp_seq=109 ttl=64 time=5.75 ms
64 bytes from 10.42.0.3: icmp_seq=110 ttl=64 time=3.05 ms
64 bytes from 10.42.0.3: icmp_seq=111 ttl=64 time=8.79 ms
64 bytes from 10.42.0.3: icmp_seq=112 ttl=64 time=264 ms
64 bytes from 10.42.0.3: icmp_seq=113 ttl=64 time=274 ms
64 bytes from 10.42.0.3: icmp_seq=114 ttl=64 time=2.95 ms
64 bytes from 10.42.0.3: icmp_seq=115 ttl=64 time=1022 ms
64 bytes from 10.42.0.3: icmp_seq=116 ttl=64 time=35.5 ms
64 bytes from 10.42.0.3: icmp_seq=117 ttl=64 time=12.2 ms
64 bytes from 10.42.0.3: icmp_seq=118 ttl=64 time=439 ms
64 bytes from 10.42.0.3: icmp_seq=118 ttl=64 time=449 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=119 ttl=64 time=61.2 ms
64 bytes from 10.42.0.3: icmp_seq=120 ttl=64 time=21.4 ms
64 bytes from 10.42.0.3: icmp_seq=121 ttl=64 time=342 ms
64 bytes from 10.42.0.3: icmp_seq=122 ttl=64 time=919 ms
64 bytes from 10.42.0.3: icmp_seq=123 ttl=64 time=977 ms
64 bytes from 10.42.0.3: icmp_seq=124 ttl=64 time=78.5 ms
64 bytes from 10.42.0.3: icmp_seq=125 ttl=64 time=375 ms
64 bytes from 10.42.0.3: icmp_seq=126 ttl=64 time=11.6 ms
64 bytes from 10.42.0.3: icmp_seq=127 ttl=64 time=89.5 ms
64 bytes from 10.42.0.3: icmp_seq=128 ttl=64 time=722 ms
64 bytes from 10.42.0.3: icmp_seq=129 ttl=64 time=129 ms
64 bytes from 10.42.0.3: icmp_seq=129 ttl=64 time=173 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=130 ttl=64 time=528 ms
64 bytes from 10.42.0.3: icmp_seq=131 ttl=64 time=33.2 ms
64 bytes from 10.42.0.3: icmp_seq=132 ttl=64 time=32.3 ms
64 bytes from 10.42.0.3: icmp_seq=133 ttl=64 time=34.8 ms
64 bytes from 10.42.0.3: icmp_seq=134 ttl=64 time=65.5 ms
64 bytes from 10.42.0.3: icmp_seq=135 ttl=64 time=879 ms
64 bytes from 10.42.0.3: icmp_seq=135 ttl=64 time=881 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=136 ttl=64 time=39.9 ms
