PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=1 ttl=64 time=1.70 ms
64 bytes from 10.42.0.3: icmp_seq=2 ttl=64 time=731 ms
64 bytes from 10.42.0.3: icmp_seq=3 ttl=64 time=41.4 ms
64 bytes from 10.42.0.3: icmp_seq=4 ttl=64 time=4.68 ms
64 bytes from 10.42.0.3: icmp_seq=5 ttl=64 time=1.73 ms
64 bytes from 10.42.0.3: icmp_seq=6 ttl=64 time=649 ms
64 bytes from 10.42.0.3: icmp_seq=7 ttl=64 time=2.41 ms
64 bytes from 10.42.0.3: icmp_seq=8 ttl=64 time=527 ms
64 bytes from 10.42.0.3: icmp_seq=9 ttl=64 time=4.57 ms
64 bytes from 10.42.0.3: icmp_seq=10 ttl=64 time=1.70 ms
64 bytes from 10.42.0.3: icmp_seq=11 ttl=64 time=15.0 ms
64 bytes from 10.42.0.3: icmp_seq=12 ttl=64 time=1.78 ms
64 bytes from 10.42.0.3: icmp_seq=13 ttl=64 time=9.59 ms
64 bytes from 10.42.0.3: icmp_seq=14 ttl=64 time=293 ms
64 bytes from 10.42.0.3: icmp_seq=15 ttl=64 time=1.86 ms
64 bytes from 10.42.0.3: icmp_seq=16 ttl=64 time=4.84 ms
64 bytes from 10.42.0.3: icmp_seq=17 ttl=64 time=5.21 ms
64 bytes from 10.42.0.3: icmp_seq=18 ttl=64 time=394 ms
64 bytes from 10.42.0.3: icmp_seq=19 ttl=64 time=663 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=1.67 ms
64 bytes from 10.42.0.3: icmp_seq=21 ttl=64 time=5.70 ms
64 bytes from 10.42.0.3: icmp_seq=22 ttl=64 time=2.05 ms
64 bytes from 10.42.0.3: icmp_seq=23 ttl=64 time=1016 ms
64 bytes from 10.42.0.3: icmp_seq=24 ttl=64 time=2.15 ms
64 bytes from 10.42.0.3: icmp_seq=25 ttl=64 time=1.77 ms
64 bytes from 10.42.0.3: icmp_seq=26 ttl=64 time=3.51 ms
64 bytes from 10.42.0.3: icmp_seq=27 ttl=64 time=561 ms
64 bytes from 10.42.0.3: icmp_seq=28 ttl=64 time=2.15 ms
64 bytes from 10.42.0.3: icmp_seq=29 ttl=64 time=3.36 ms
