PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=1 ttl=64 time=99.3 ms
64 bytes from 10.42.0.3: icmp_seq=2 ttl=64 time=65.7 ms
64 bytes from 10.42.0.3: icmp_seq=3 ttl=64 time=257 ms
64 bytes from 10.42.0.3: icmp_seq=4 ttl=64 time=1053 ms
64 bytes from 10.42.0.3: icmp_seq=5 ttl=64 time=49.1 ms
64 bytes from 10.42.0.3: icmp_seq=6 ttl=64 time=722 ms
64 bytes from 10.42.0.3: icmp_seq=7 ttl=64 time=203 ms
64 bytes from 10.42.0.3: icmp_seq=8 ttl=64 time=349 ms
64 bytes from 10.42.0.3: icmp_seq=9 ttl=64 time=94.8 ms
64 bytes from 10.42.0.3: icmp_seq=10 ttl=64 time=36.0 ms
64 bytes from 10.42.0.3: icmp_seq=11 ttl=64 time=99.0 ms
64 bytes from 10.42.0.3: icmp_seq=12 ttl=64 time=56.9 ms
64 bytes from 10.42.0.3: icmp_seq=13 ttl=64 time=419 ms
64 bytes from 10.42.0.3: icmp_seq=14 ttl=64 time=127 ms
64 bytes from 10.42.0.3: icmp_seq=15 ttl=64 time=142 ms
64 bytes from 10.42.0.3: icmp_seq=16 ttl=64 time=40.8 ms
64 bytes from 10.42.0.3: icmp_seq=17 ttl=64 time=92.6 ms
64 bytes from 10.42.0.3: icmp_seq=18 ttl=64 time=333 ms
64 bytes from 10.42.0.3: icmp_seq=19 ttl=64 time=43.5 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=191 ms
64 bytes from 10.42.0.3: icmp_seq=21 ttl=64 time=779 ms
64 bytes from 10.42.0.3: icmp_seq=22 ttl=64 time=146 ms
64 bytes from 10.42.0.3: icmp_seq=23 ttl=64 time=26.6 ms
64 bytes from 10.42.0.3: icmp_seq=24 ttl=64 time=1046 ms
64 bytes from 10.42.0.3: icmp_seq=25 ttl=64 time=256 ms
64 bytes from 10.42.0.3: icmp_seq=26 ttl=64 time=83.3 ms
64 bytes from 10.42.0.3: icmp_seq=27 ttl=64 time=130 ms
64 bytes from 10.42.0.3: icmp_seq=28 ttl=64 time=205 ms
64 bytes from 10.42.0.3: icmp_seq=29 ttl=64 time=196 ms
64 bytes from 10.42.0.3: icmp_seq=30 ttl=64 time=28.4 ms
64 bytes from 10.42.0.3: icmp_seq=31 ttl=64 time=97.4 ms
64 bytes from 10.42.0.3: icmp_seq=32 ttl=64 time=109 ms
64 bytes from 10.42.0.3: icmp_seq=33 ttl=64 time=220 ms
64 bytes from 10.42.0.3: icmp_seq=34 ttl=64 time=239 ms
64 bytes from 10.42.0.3: icmp_seq=35 ttl=64 time=41.6 ms
64 bytes from 10.42.0.3: icmp_seq=36 ttl=64 time=128 ms
64 bytes from 10.42.0.3: icmp_seq=37 ttl=64 time=95.2 ms
64 bytes from 10.42.0.3: icmp_seq=38 ttl=64 time=92.6 ms
64 bytes from 10.42.0.3: icmp_seq=39 ttl=64 time=90.7 ms
64 bytes from 10.42.0.3: icmp_seq=40 ttl=64 time=227 ms
64 bytes from 10.42.0.3: icmp_seq=41 ttl=64 time=17.4 ms
64 bytes from 10.42.0.3: icmp_seq=42 ttl=64 time=105 ms
64 bytes from 10.42.0.3: icmp_seq=43 ttl=64 time=992 ms
64 bytes from 10.42.0.3: icmp_seq=44 ttl=64 time=368 ms
64 bytes from 10.42.0.3: icmp_seq=45 ttl=64 time=112 ms
64 bytes from 10.42.0.3: icmp_seq=46 ttl=64 time=235 ms
64 bytes from 10.42.0.3: icmp_seq=47 ttl=64 time=133 ms
64 bytes from 10.42.0.3: icmp_seq=48 ttl=64 time=191 ms
64 bytes from 10.42.0.3: icmp_seq=49 ttl=64 time=439 ms
64 bytes from 10.42.0.3: icmp_seq=50 ttl=64 time=1306 ms
64 bytes from 10.42.0.3: icmp_seq=51 ttl=64 time=489 ms
64 bytes from 10.42.0.3: icmp_seq=52 ttl=64 time=847 ms
64 bytes from 10.42.0.3: icmp_seq=53 ttl=64 time=53.1 ms
64 bytes from 10.42.0.3: icmp_seq=54 ttl=64 time=143 ms
64 bytes from 10.42.0.3: icmp_seq=55 ttl=64 time=1020 ms
64 bytes from 10.42.0.3: icmp_seq=56 ttl=64 time=91.7 ms
64 bytes from 10.42.0.3: icmp_seq=57 ttl=64 time=285 ms
64 bytes from 10.42.0.3: icmp_seq=58 ttl=64 time=37.5 ms
64 bytes from 10.42.0.3: icmp_seq=59 ttl=64 time=84.6 ms
64 bytes from 10.42.0.3: icmp_seq=60 ttl=64 time=65.7 ms
64 bytes from 10.42.0.3: icmp_seq=61 ttl=64 time=46.0 ms
64 bytes from 10.42.0.3: icmp_seq=62 ttl=64 time=16.2 ms
64 bytes from 10.42.0.3: icmp_seq=63 ttl=64 time=332 ms
64 bytes from 10.42.0.3: icmp_seq=64 ttl=64 time=399 ms
64 bytes from 10.42.0.3: icmp_seq=65 ttl=64 time=147 ms
64 bytes from 10.42.0.3: icmp_seq=66 ttl=64 time=111 ms
64 bytes from 10.42.0.3: icmp_seq=67 ttl=64 time=233 ms
64 bytes from 10.42.0.3: icmp_seq=68 ttl=64 time=768 ms
64 bytes from 10.42.0.3: icmp_seq=69 ttl=64 time=49.9 ms
64 bytes from 10.42.0.3: icmp_seq=70 ttl=64 time=285 ms
64 bytes from 10.42.0.3: icmp_seq=71 ttl=64 time=138 ms
64 bytes from 10.42.0.3: icmp_seq=71 ttl=64 time=148 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=72 ttl=64 time=13.4 ms
64 bytes from 10.42.0.3: icmp_seq=73 ttl=64 time=189 ms
64 bytes from 10.42.0.3: icmp_seq=74 ttl=64 time=88.6 ms
64 bytes from 10.42.0.3: icmp_seq=75 ttl=64 time=161 ms
64 bytes from 10.42.0.3: icmp_seq=76 ttl=64 time=72.8 ms
64 bytes from 10.42.0.3: icmp_seq=77 ttl=64 time=61.9 ms
64 bytes from 10.42.0.3: icmp_seq=78 ttl=64 time=17.3 ms
64 bytes from 10.42.0.3: icmp_seq=79 ttl=64 time=61.1 ms
64 bytes from 10.42.0.3: icmp_seq=80 ttl=64 time=370 ms
64 bytes from 10.42.0.3: icmp_seq=81 ttl=64 time=580 ms
64 bytes from 10.42.0.3: icmp_seq=82 ttl=64 time=46.3 ms
64 bytes from 10.42.0.3: icmp_seq=83 ttl=64 time=25.3 ms
64 bytes from 10.42.0.3: icmp_seq=84 ttl=64 time=229 ms
64 bytes from 10.42.0.3: icmp_seq=85 ttl=64 time=25.1 ms
64 bytes from 10.42.0.3: icmp_seq=86 ttl=64 time=217 ms
64 bytes from 10.42.0.3: icmp_seq=87 ttl=64 time=329 ms
64 bytes from 10.42.0.3: icmp_seq=88 ttl=64 time=18.2 ms
64 bytes from 10.42.0.3: icmp_seq=89 ttl=64 time=90.1 ms
64 bytes from 10.42.0.3: icmp_seq=90 ttl=64 time=671 ms
64 bytes from 10.42.0.3: icmp_seq=91 ttl=64 time=173 ms
