PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=1 ttl=64 time=10.8 ms
64 bytes from 10.42.0.3: icmp_seq=2 ttl=64 time=5.27 ms
64 bytes from 10.42.0.3: icmp_seq=3 ttl=64 time=5.31 ms
64 bytes from 10.42.0.3: icmp_seq=4 ttl=64 time=6.90 ms
64 bytes from 10.42.0.3: icmp_seq=5 ttl=64 time=4.95 ms
64 bytes from 10.42.0.3: icmp_seq=6 ttl=64 time=5.04 ms
64 bytes from 10.42.0.3: icmp_seq=7 ttl=64 time=5.39 ms
64 bytes from 10.42.0.3: icmp_seq=8 ttl=64 time=3.31 ms
64 bytes from 10.42.0.3: icmp_seq=9 ttl=64 time=5.42 ms
64 bytes from 10.42.0.3: icmp_seq=10 ttl=64 time=6.12 ms
64 bytes from 10.42.0.3: icmp_seq=11 ttl=64 time=367 ms
64 bytes from 10.42.0.3: icmp_seq=12 ttl=64 time=70.2 ms
64 bytes from 10.42.0.3: icmp_seq=13 ttl=64 time=38.9 ms
64 bytes from 10.42.0.3: icmp_seq=14 ttl=64 time=4.02 ms
64 bytes from 10.42.0.3: icmp_seq=15 ttl=64 time=3.70 ms
64 bytes from 10.42.0.3: icmp_seq=16 ttl=64 time=6.81 ms
64 bytes from 10.42.0.3: icmp_seq=17 ttl=64 time=9.34 ms
64 bytes from 10.42.0.3: icmp_seq=18 ttl=64 time=54.9 ms
64 bytes from 10.42.0.3: icmp_seq=19 ttl=64 time=6.41 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=4.01 ms
64 bytes from 10.42.0.3: icmp_seq=21 ttl=64 time=3.60 ms
64 bytes from 10.42.0.3: icmp_seq=22 ttl=64 time=4.96 ms
64 bytes from 10.42.0.3: icmp_seq=23 ttl=64 time=3.81 ms
64 bytes from 10.42.0.3: icmp_seq=24 ttl=64 time=4.77 ms
64 bytes from 10.42.0.3: icmp_seq=25 ttl=64 time=3.08 ms
64 bytes from 10.42.0.3: icmp_seq=26 ttl=64 time=3.06 ms
64 bytes from 10.42.0.3: icmp_seq=28 ttl=64 time=5.89 ms
64 bytes from 10.42.0.3: icmp_seq=29 ttl=64 time=3.44 ms
64 bytes from 10.42.0.3: icmp_seq=30 ttl=64 time=16.1 ms
64 bytes from 10.42.0.3: icmp_seq=31 ttl=64 time=108 ms
64 bytes from 10.42.0.3: icmp_seq=32 ttl=64 time=6.68 ms
64 bytes from 10.42.0.3: icmp_seq=33 ttl=64 time=3.39 ms
64 bytes from 10.42.0.3: icmp_seq=34 ttl=64 time=5.58 ms
64 bytes from 10.42.0.3: icmp_seq=35 ttl=64 time=51.3 ms
64 bytes from 10.42.0.3: icmp_seq=36 ttl=64 time=3.87 ms
64 bytes from 10.42.0.3: icmp_seq=37 ttl=64 time=1.48 ms
64 bytes from 10.42.0.3: icmp_seq=38 ttl=64 time=2.99 ms
64 bytes from 10.42.0.3: icmp_seq=39 ttl=64 time=1.15 ms
64 bytes from 10.42.0.3: icmp_seq=40 ttl=64 time=3.61 ms
64 bytes from 10.42.0.3: icmp_seq=41 ttl=64 time=1.17 ms
64 bytes from 10.42.0.3: icmp_seq=42 ttl=64 time=1.45 ms
64 bytes from 10.42.0.3: icmp_seq=43 ttl=64 time=1.17 ms
64 bytes from 10.42.0.3: icmp_seq=44 ttl=64 time=1.13 ms
64 bytes from 10.42.0.3: icmp_seq=45 ttl=64 time=2.08 ms
64 bytes from 10.42.0.3: icmp_seq=46 ttl=64 time=3.27 ms
64 bytes from 10.42.0.3: icmp_seq=47 ttl=64 time=1.21 ms
64 bytes from 10.42.0.3: icmp_seq=49 ttl=64 time=2.59 ms
64 bytes from 10.42.0.3: icmp_seq=50 ttl=64 time=4.01 ms
64 bytes from 10.42.0.3: icmp_seq=52 ttl=64 time=4.16 ms
64 bytes from 10.42.0.3: icmp_seq=53 ttl=64 time=8.79 ms
64 bytes from 10.42.0.3: icmp_seq=55 ttl=64 time=280 ms
64 bytes from 10.42.0.3: icmp_seq=56 ttl=64 time=4.08 ms
64 bytes from 10.42.0.3: icmp_seq=57 ttl=64 time=2.07 ms
64 bytes from 10.42.0.3: icmp_seq=59 ttl=64 time=136 ms
64 bytes from 10.42.0.3: icmp_seq=60 ttl=64 time=31.9 ms
64 bytes from 10.42.0.3: icmp_seq=61 ttl=64 time=238 ms
64 bytes from 10.42.0.3: icmp_seq=62 ttl=64 time=109 ms
64 bytes from 10.42.0.3: icmp_seq=63 ttl=64 time=496 ms
64 bytes from 10.42.0.3: icmp_seq=66 ttl=64 time=112 ms
64 bytes from 10.42.0.3: icmp_seq=68 ttl=64 time=488 ms
64 bytes from 10.42.0.3: icmp_seq=69 ttl=64 time=160 ms
64 bytes from 10.42.0.3: icmp_seq=70 ttl=64 time=267 ms
64 bytes from 10.42.0.3: icmp_seq=71 ttl=64 time=7.43 ms
64 bytes from 10.42.0.3: icmp_seq=72 ttl=64 time=76.2 ms
64 bytes from 10.42.0.3: icmp_seq=73 ttl=64 time=5.01 ms
64 bytes from 10.42.0.3: icmp_seq=74 ttl=64 time=28.8 ms
64 bytes from 10.42.0.3: icmp_seq=75 ttl=64 time=11.4 ms
64 bytes from 10.42.0.3: icmp_seq=76 ttl=64 time=9.16 ms
64 bytes from 10.42.0.3: icmp_seq=77 ttl=64 time=371 ms
64 bytes from 10.42.0.3: icmp_seq=78 ttl=64 time=61.5 ms
64 bytes from 10.42.0.3: icmp_seq=79 ttl=64 time=152 ms
64 bytes from 10.42.0.3: icmp_seq=80 ttl=64 time=280 ms
64 bytes from 10.42.0.3: icmp_seq=82 ttl=64 time=148 ms
64 bytes from 10.42.0.3: icmp_seq=83 ttl=64 time=123 ms
64 bytes from 10.42.0.3: icmp_seq=84 ttl=64 time=274 ms
64 bytes from 10.42.0.3: icmp_seq=85 ttl=64 time=5.77 ms
64 bytes from 10.42.0.3: icmp_seq=86 ttl=64 time=91.9 ms
64 bytes from 10.42.0.3: icmp_seq=87 ttl=64 time=216 ms
64 bytes from 10.42.0.3: icmp_seq=88 ttl=64 time=61.7 ms
64 bytes from 10.42.0.3: icmp_seq=89 ttl=64 time=103 ms
64 bytes from 10.42.0.3: icmp_seq=90 ttl=64 time=13.2 ms
64 bytes from 10.42.0.3: icmp_seq=91 ttl=64 time=3.74 ms
64 bytes from 10.42.0.3: icmp_seq=94 ttl=64 time=311 ms
64 bytes from 10.42.0.3: icmp_seq=95 ttl=64 time=1760 ms
64 bytes from 10.42.0.3: icmp_seq=96 ttl=64 time=1138 ms
64 bytes from 10.42.0.3: icmp_seq=97 ttl=64 time=953 ms
64 bytes from 10.42.0.3: icmp_seq=98 ttl=64 time=109 ms
64 bytes from 10.42.0.3: icmp_seq=99 ttl=64 time=390 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=89.4 ms
