%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1718110568534110717,0.0,0.0,0.0,0.0,0.0,0.0
1718110568584811566,0.0,0.0,0.0,0.0,0.0,0.0
1718110568637709921,0.0,0.0,0.0,0.0,0.0,0.0
1718110568686918177,0.0,0.0,0.0,0.0,0.0,0.0
1718110568737421092,0.0,0.0,0.0,0.0,0.0,0.0
1718110568784930153,0.0,0.0,0.0,0.0,0.0,0.0
1718110568835614675,0.0,0.0,0.0,0.0,0.0,0.0
1718110568883451700,0.0,0.0,0.0,0.0,0.0,0.0
1718110568937934554,0.0,0.0,0.0,0.0,0.0,0.0
1718110568982993915,0.0,0.0,0.0,0.0,0.0,0.0
1718110569035214906,0.0,0.0,0.0,0.0,0.0,0.0
1718110569086545349,0.0,0.0,0.0,0.0,0.0,0.0
1718110569136577198,0.0,0.0,0.0,0.0,0.0,0.0
1718110569185407127,0.0,0.0,0.0,0.0,0.0,0.0
1718110569236210975,0.0,0.0,0.0,0.0,0.0,0.0
1718110569283703887,0.0,0.0,0.0,0.0,0.0,0.0
1718110569334143649,0.0,0.0,0.0,0.0,0.0,0.0
1718110569387146251,0.0,0.0,0.0,0.0,0.0,0.0
1718110569436953257,0.0,0.0,0.0,0.0,0.0,0.0
1718110569487452643,0.0,0.0,0.0,0.0,0.0,0.0
1718110569538269731,0.0,0.0,0.0,0.0,0.0,0.0
1718110569586009200,0.0,0.0,0.0,0.0,0.0,0.0
1718110569635485354,0.0,0.0,0.0,0.0,0.0,0.0
1718110569686161283,0.0,0.0,0.0,0.0,0.0,0.0
1718110569735834067,0.0,0.0,0.0,0.0,0.0,0.0
1718110569788277337,0.0,0.0,0.0,0.0,0.0,0.0
1718110569836818407,0.0,0.0,0.0,0.0,0.0,0.0
1718110569886073497,0.0,0.0,0.0,0.0,0.0,0.0
1718110569936111660,0.0,0.0,0.0,0.0,0.0,0.0
1718110569987218878,0.0,0.0,0.0,0.0,0.0,0.0
1718110570047279516,0.0,0.0,0.0,0.0,0.0,0.0
1718110570084175781,0.0,0.0,0.0,0.0,0.0,0.0
1718110570136757740,0.0,0.0,0.0,0.0,0.0,0.0
1718110570186712108,0.0,0.0,0.0,0.0,0.0,0.0
